team_game,lock_line,no_return
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,1
6,NA,1
7,NA,1
8,NA,1
9,NA,3
10,19,3
11,19,4
12,21,5
13,23,7
14,24,7
15,26,8
16,28,10
17,29,12
18,29,12
19,31,12
20,31,12
21,33,12
22,35,14
23,37,16
24,39,16
25,40,17
26,42,17
27,42,19
28,42,19
29,42,21
30,44,23
31,45,25
32,45,25
33,46,27
34,47,28
35,47,28
36,47,29
37,49,30
38,49,30
39,51,32
40,53,34
41,54,34
42,56,34
43,56,36
44,58,37
45,60,39
46,62,41
47,64,41
48,64,43
49,64,44
50,66,46
51,66,47
52,66,49
53,66,49
54,68,50
55,69,52
56,71,54
57,72,54
58,73,56
59,73,57
60,73,59
61,75,61
62,75,62
63,77,63
64,78,65
65,80,65
66,81,67
67,82,67
68,84,69
69,85,69
70,87,71
71,87,72
72,87,74
73,87,76
74,89,78
75,90,79
76,92,81
77,93,81
78,94,81
79,96,83
80,96,85
81,96,85
82,97,86
