season,conference,division,team
20072008,East,Atlantic,PIT
20072008,East,Atlantic,N.J
20072008,West,Pacific,S.J
20072008,West,Northwest,MIN
20072008,East,Northeast,MTL
20072008,West,Central,DET
20072008,West,Pacific,ANA
20072008,East,Southeast,WSH
20072008,East,Northeast,BOS
20072008,East,Atlantic,NYR
20072008,West,Northwest,CGY
20072008,East,Northeast,OTT
20072008,West,Central,NSH
20072008,West,Northwest,COL
20072008,East,Atlantic,PHI
20072008,West,Pacific,DAL
20082009,East,Southeast,WSH
20082009,East,Atlantic,N.J
20082009,East,Atlantic,PIT
20082009,West,Northwest,VAN
20082009,East,Northeast,BOS
20082009,West,Pacific,S.J
20082009,West,Central,DET
20082009,West,Central,CHI
20082009,East,Southeast,CAR
20082009,East,Atlantic,PHI
20082009,West,Central,STL
20082009,East,Northeast,MTL
20082009,East,Atlantic,NYR
20082009,West,Northwest,CGY
20082009,West,Pacific,ANA
20082009,West,Central,CBJ
20092010,East,Atlantic,N.J
20092010,East,Atlantic,PIT
20092010,West,Pacific,S.J
20092010,West,Pacific,ARI
20092010,East,Southeast,WSH
20092010,East,Northeast,BUF
20092010,West,Northwest,VAN
20092010,West,Central,CHI
20092010,East,Atlantic,PHI
20092010,East,Northeast,OTT
20092010,West,Northwest,COL
20092010,West,Central,DET
20092010,East,Northeast,MTL
20092010,East,Northeast,BOS
20092010,West,Pacific,L.A
20092010,West,Central,NSH
20102011,East,Southeast,WSH
20102011,East,Atlantic,PIT
20102011,West,Northwest,VAN
20102011,West,Central,DET
20102011,West,Pacific,ANA
20102011,East,Atlantic,PHI
20102011,East,Northeast,BOS
20102011,West,Pacific,S.J
20102011,East,Atlantic,NYR
20102011,West,Central,CHI
20102011,West,Central,NSH
20102011,East,Northeast,BUF
20102011,East,Northeast,MTL
20102011,East,Southeast,T.B
20102011,West,Pacific,ARI
20102011,West,Pacific,L.A
20112012,East,Atlantic,PIT
20112012,West,Northwest,VAN
20112012,West,Central,NSH
20112012,East,Atlantic,NYR
20112012,East,Northeast,BOS
20112012,West,Pacific,ARI
20112012,East,Southeast,FLA
20112012,West,Central,STL
20112012,East,Atlantic,PHI
20112012,West,Pacific,L.A
20112012,West,Central,DET
20112012,East,Northeast,OTT
20112012,East,Southeast,WSH
20112012,West,Pacific,S.J
20112012,East,Atlantic,N.J
20112012,West,Central,CHI
20122013,West,Central,CHI
20122013,West,Pacific,ANA
20122013,West,Central,STL
20122013,East,Atlantic,PIT
20122013,East,Northeast,BOS
20122013,West,Northwest,VAN
20122013,East,Northeast,MTL
20122013,East,Southeast,WSH
20122013,West,Central,DET
20122013,West,Pacific,L.A
20122013,East,Atlantic,NYI
20122013,East,Northeast,OTT
20122013,West,Northwest,MIN
20122013,West,Pacific,S.J
20122013,East,Atlantic,NYR
20122013,East,Northeast,TOR
20132014,East,Atlantic,T.B
20132014,East,Metro,PIT
20132014,West,Pacific,ANA
20132014,East,Metro,NYR
20132014,West,Central,COL
20132014,West,Pacific,S.J
20132014,East,Atlantic,BOS
20132014,West,Central,STL
20132014,East,Atlantic,MTL
20132014,East,Metro,CBJ
20132014,West,Central,MIN
20132014,West,Central,CHI
20132014,West,Central,DAL
20132014,East,Atlantic,DET
20132014,East,Metro,PHI
20132014,West,Pacific,L.A
20142015,East,Atlantic,MTL
20142015,East,Metro,WSH
20142015,West,Pacific,VAN
20142015,East,Atlantic,T.B
20142015,East,Metro,NYR
20142015,West,Central,STL
20142015,West,Pacific,ANA
20142015,West,Central,NSH
20142015,East,Atlantic,OTT
20142015,East,Metro,NYI
20142015,West,Central,CHI
20142015,West,Pacific,CGY
20142015,East,Metro,PIT
20142015,West,Central,MIN
20142015,West,Central,WPG
20142015,East,Atlantic,DET
20152016,East,Atlantic,T.B
20152016,East,Metro,PIT
20152016,West,Central,STL
20152016,East,Atlantic,FLA
20152016,East,Metro,WSH
20152016,West,Central,DAL
20152016,West,Pacific,L.A
20152016,West,Pacific,ANA
20152016,East,Metro,NYI
20152016,East,Atlantic,DET
20152016,West,Central,CHI
20152016,East,Metro,PHI
20152016,West,Central,MIN
20152016,West,Pacific,S.J
20152016,East,Metro,NYR
20152016,West,Central,NSH
20162017,East,Atlantic,MTL
20162017,East,Atlantic,OTT
20162017,East,Metro,PIT
20162017,West,Central,MIN
20162017,West,Pacific,EDM
20162017,East,Metro,WSH
20162017,West,Central,CHI
20162017,West,Pacific,ANA
20162017,East,Metro,NYR
20162017,East,Metro,CBJ
20162017,West,Central,STL
20162017,West,Pacific,S.J
20162017,East,Atlantic,BOS
20162017,East,Atlantic,TOR
20162017,West,Central,NSH
20162017,West,Pacific,CGY
20172018,East,Metro,PIT
20172018,West,Central,WPG
20172018,West,Pacific,VGK
20172018,East,Atlantic,T.B
20172018,East,Atlantic,BOS
20172018,East,Metro,WSH
20172018,West,Central,NSH
20172018,West,Pacific,ANA
20172018,East,Metro,PHI
20172018,West,Central,MIN
20172018,West,Pacific,L.A
20172018,East,Metro,N.J
20172018,East,Atlantic,TOR
20172018,West,Central,COL
20172018,West,Pacific,S.J
20172018,East,Metro,CBJ
